Date,number_sold
2013-09-12,785
2013-09-13,792
2013-09-14,807
2013-09-15,783
2013-09-16,762
2013-09-17,780
2013-09-18,759
2013-09-19,780
2013-09-20,774
2013-09-21,807
2013-09-22,785
2013-09-23,783
2013-09-24,780
2013-09-25,776
2013-09-26,803
2013-09-27,778
2013-09-28,801
2013-09-29,768
2013-09-30,774
2013-10-01,785
2013-10-02,786
2013-10-03,769
2013-10-04,779
2013-10-05,783
2013-10-06,776
2013-10-07,759
2013-10-08,780
2013-10-09,779
2013-10-10,779
2013-10-11,787
2013-10-12,787
2013-10-13,787
2013-10-14,778
2013-10-15,786
2013-10-16,771
2013-10-17,786
2013-10-18,770
2013-10-19,804
2013-10-20,796
2013-10-21,768
2013-10-22,787
2013-10-23,772
2013-10-24,782
2013-10-25,770
2013-10-26,798
2013-10-27,790
2013-10-28,783
2013-10-29,781
2013-10-30,773
2013-10-31,791
2013-11-01,787
2013-11-02,810
2013-11-03,778
2013-11-04,772
2013-11-05,785
2013-11-06,782
2013-11-07,768
2013-11-08,800
2013-11-09,815
2013-11-10,774
2013-11-11,802
2013-11-12,788
2013-11-13,779
2013-11-14,787
2013-11-15,793
2013-11-16,821
2013-11-17,783
2013-11-18,801
2013-11-19,791
2013-11-20,790
2013-11-21,794
2013-11-22,794
2013-11-23,829
2013-11-24,809
2013-11-25,805
2013-11-26,806
2013-11-27,803
2013-11-28,796
2013-11-29,806
2013-11-30,846
2013-12-01,809
2013-12-02,814
2013-12-03,812
2013-12-04,808
2013-12-05,825
2013-12-06,830
2013-12-07,816
2013-12-08,814
2013-12-09,813
2013-12-10,821
2013-12-11,816
2013-12-12,810
2013-12-13,816
2013-12-14,822
2013-12-15,816
2013-12-16,808
2013-12-17,805
2013-12-18,827
2013-12-19,802
2013-12-20,809
2013-12-21,855
2013-12-22,809
2013-12-23,827
2013-12-24,816
2013-12-25,826
2013-12-26,821
2013-12-27,826
2013-12-28,850
2013-12-29,820
2013-12-30,851
2013-12-31,825
2014-01-01,834
2014-01-02,827
2014-01-03,840
2014-01-04,874
2014-01-05,835
2014-01-06,834
2014-01-07,839
2014-01-08,843
2014-01-09,839
2014-01-10,858
2014-01-11,855
2014-01-12,843
2014-01-13,846
2014-01-14,849
2014-01-15,840
2014-01-16,842
2014-01-17,848
2014-01-18,859
2014-01-19,836
2014-01-20,846
2014-01-21,853
2014-01-22,849
2014-01-23,851
2014-01-24,844
2014-01-25,867
2014-01-26,855
2014-01-27,864
2014-01-28,866
2014-01-29,847
2014-01-30,868
2014-01-31,868
2014-02-01,892
2014-02-02,847
2014-02-03,845
2014-02-04,874
2014-02-05,846
2014-02-06,853
2014-02-07,880
2014-02-08,895
2014-02-09,873
2014-02-10,887
2014-02-11,863
2014-02-12,881
2014-02-13,867
2014-02-14,890
2014-02-15,869
2014-02-16,875
2014-02-17,855
2014-02-18,877
2014-02-19,854
2014-02-20,868
2014-02-21,869
2014-02-22,881
2014-02-23,854
2014-02-24,867
2014-02-25,870
2014-02-26,872
2014-02-27,858
2014-02-28,873
2014-03-01,918
2014-03-02,871
2014-03-03,867
2014-03-04,889
2014-03-05,881
2014-03-06,865
2014-03-07,870
2014-03-08,915
2014-03-09,860
2014-03-10,884
2014-03-11,875
2014-03-12,887
2014-03-13,888
2014-03-14,885
2014-03-15,906
2014-03-16,897
2014-03-17,866
2014-03-18,881
2014-03-19,876
2014-03-20,873
2014-03-21,890
2014-03-22,909
2014-03-23,886
2014-03-24,893
2014-03-25,876
2014-03-26,892
2014-03-27,875
2014-03-28,885
2014-03-29,924
2014-03-30,881
2014-03-31,874
2014-04-01,895
2014-04-02,864
2014-04-03,893
2014-04-04,888
2014-04-05,883
2014-04-06,882
2014-04-07,887
2014-04-08,880
2014-04-09,877
2014-04-10,899
2014-04-11,903
2014-04-12,909
2014-04-13,891
2014-04-14,866
2014-04-15,902
2014-04-16,881
2014-04-17,881
2014-04-18,894
2014-04-19,921
2014-04-20,885
2014-04-21,891
2014-04-22,870
2014-04-23,867
2014-04-24,863
2014-04-25,872
2014-04-26,891
2014-04-27,877
2014-04-28,880
2014-04-29,883
2014-04-30,862
2014-05-01,875
2014-05-02,859
2014-05-03,895
2014-05-04,881
2014-05-05,894
2014-05-06,862
2014-05-07,878
2014-05-08,874
2014-05-09,884
2014-05-10,905
2014-05-11,870
2014-05-12,875
2014-05-13,867
2014-05-14,869
2014-05-15,864
2014-05-16,861
2014-05-17,898
2014-05-18,860
2014-05-19,887
2014-05-20,871
2014-05-21,860
2014-05-22,871
2014-05-23,876
2014-05-24,878
2014-05-25,858
2014-05-26,861
2014-05-27,870
2014-05-28,859
2014-05-29,842
2014-05-30,849
2014-05-31,874
2014-06-01,854
2014-06-02,863
2014-06-03,865
2014-06-04,858
2014-06-05,848
2014-06-06,847
2014-06-07,872
2014-06-08,861
2014-06-09,845
2014-06-10,844
2014-06-11,850
2014-06-12,868
2014-06-13,843
2014-06-14,895
2014-06-15,858
2014-06-16,850
2014-06-17,840
2014-06-18,860
2014-06-19,847
2014-06-20,840
2014-06-21,868
2014-06-22,840
2014-06-23,834
2014-06-24,827
2014-06-25,829
2014-06-26,826
2014-06-27,823
2014-06-28,863
2014-06-29,849
2014-06-30,837
2014-07-01,836
2014-07-02,828
2014-07-03,841
2014-07-04,835
2014-07-05,850
2014-07-06,820
2014-07-07,828
2014-07-08,804
2014-07-09,830
2014-07-10,838
2014-07-11,829
2014-07-12,846
2014-07-13,816
2014-07-14,827
2014-07-15,814
2014-07-16,824
2014-07-17,838
2014-07-18,816
2014-07-19,829
2014-07-20,818
2014-07-21,814
2014-07-22,817
2014-07-23,812
2014-07-24,812
2014-07-25,813
2014-07-26,801
2014-07-27,813
2014-07-28,800
2014-07-29,819
2014-07-30,818
2014-07-31,821
2014-08-01,810
2014-08-02,805
2014-08-03,807
2014-08-04,803
2014-08-05,820
2014-08-06,813
2014-08-07,814
2014-08-08,800
2014-08-09,821
2014-08-10,791
2014-08-11,788
2014-08-12,787
2014-08-13,801
2014-08-14,807
2014-08-15,791
2014-08-16,817
2014-08-17,798
2014-08-18,792
2014-08-19,793
2014-08-20,799
2014-08-21,780
2014-08-22,777
2014-08-23,813
2014-08-24,797
2014-08-25,784
2014-08-26,782
2014-08-27,781
2014-08-28,783
2014-08-29,794
2014-08-30,809
2014-08-31,779
2014-09-01,786
2014-09-02,797
2014-09-03,778
2014-09-04,782
2014-09-05,786
2014-09-06,814
2014-09-07,795
2014-09-08,779
2014-09-09,776
2014-09-10,786
2014-09-11,789
2014-09-12,785
2014-09-13,782
2014-09-14,797
2014-09-15,783
2014-09-16,768
2014-09-17,780
2014-09-18,774
2014-09-19,792
2014-09-20,794
2014-09-21,766
2014-09-22,787
2014-09-23,780
2014-09-24,773
2014-09-25,770
2014-09-26,765
2014-09-27,825
2014-09-28,790
2014-09-29,775
2014-09-30,777
2014-10-01,786
2014-10-02,787
2014-10-03,783
2014-10-04,783
2014-10-05,779
2014-10-06,789
2014-10-07,796
2014-10-08,779
2014-10-09,787
2014-10-10,777
2014-10-11,821
2014-10-12,777
2014-10-13,782
2014-10-14,789
2014-10-15,774
2014-10-16,798
2014-10-17,784
2014-10-18,810
2014-10-19,790
2014-10-20,770
2014-10-21,779
2014-10-22,790
2014-10-23,783
2014-10-24,790
2014-10-25,805
2014-10-26,806
2014-10-27,783
2014-10-28,786
2014-10-29,796
2014-10-30,792
2014-10-31,774
2014-11-01,775
2014-11-02,793
2014-11-03,794
2014-11-04,777
2014-11-05,788
2014-11-06,799
2014-11-07,771
2014-11-08,807
2014-11-09,799
2014-11-10,789
2014-11-11,790
2014-11-12,773
2014-11-13,784
2014-11-14,780
2014-11-15,833
2014-11-16,798
2014-11-17,791
2014-11-18,787
2014-11-19,800
2014-11-20,785
2014-11-21,807
2014-11-22,826
2014-11-23,793
2014-11-24,783
2014-11-25,799
2014-11-26,785
2014-11-27,806
2014-11-28,798
2014-11-29,832
2014-11-30,801
2014-12-01,804
2014-12-02,809
2014-12-03,799
2014-12-04,797
2014-12-05,800
2014-12-06,842
2014-12-07,804
2014-12-08,786
2014-12-09,804
2014-12-10,799
2014-12-11,805
2014-12-12,800
2014-12-13,836
2014-12-14,807
2014-12-15,812
2014-12-16,823
2014-12-17,823
2014-12-18,817
2014-12-19,820
2014-12-20,862
2014-12-21,817
2014-12-22,825
2014-12-23,813
2014-12-24,823
2014-12-25,819
2014-12-26,821
2014-12-27,838
2014-12-28,812
2014-12-29,842
2014-12-30,828
2014-12-31,836
2015-01-01,838
2015-01-02,831
2015-01-03,839
2015-01-04,828
2015-01-05,830
2015-01-06,852
2015-01-07,832
2015-01-08,848
2015-01-09,839
2015-01-10,883
2015-01-11,852
2015-01-12,827
2015-01-13,844
2015-01-14,844
2015-01-15,838
2015-01-16,851
2015-01-17,877
2015-01-18,845
2015-01-19,843
2015-01-20,842
2015-01-21,843
2015-01-22,837
2015-01-23,841
2015-01-24,875
2015-01-25,855
2015-01-26,851
2015-01-27,854
2015-01-28,849
2015-01-29,868
2015-01-30,853
2015-01-31,887
2015-02-01,849
2015-02-02,857
2015-02-03,858
2015-02-04,861
2015-02-05,881
2015-02-06,860
2015-02-07,883
2015-02-08,866
2015-02-09,872
2015-02-10,874
2015-02-11,886
2015-02-12,880
2015-02-13,868
2015-02-14,883
2015-02-15,877
2015-02-16,865
2015-02-17,876
2015-02-18,852
2015-02-19,880
2015-02-20,869
2015-02-21,893
2015-02-22,870
2015-02-23,867
2015-02-24,888
2015-02-25,870
2015-02-26,875
2015-02-27,873
2015-02-28,900
2015-03-01,877
2015-03-02,875
2015-03-03,868
2015-03-04,882
2015-03-05,882
2015-03-06,877
2015-03-07,898
2015-03-08,878
2015-03-09,864
2015-03-10,887
2015-03-11,878
2015-03-12,871
2015-03-13,876
2015-03-14,905
2015-03-15,886
2015-03-16,909
2015-03-17,878
2015-03-18,895
2015-03-19,898
2015-03-20,885
2015-03-21,904
2015-03-22,890
2015-03-23,898
2015-03-24,891
2015-03-25,898
2015-03-26,872
2015-03-27,901
2015-03-28,905
2015-03-29,874
2015-03-30,889
2015-03-31,892
2015-04-01,887
2015-04-02,891
2015-04-03,875
2015-04-04,912
2015-04-05,884
2015-04-06,876
2015-04-07,878
2015-04-08,872
2015-04-09,874
2015-04-10,890
2015-04-11,916
2015-04-12,870
2015-04-13,888
2015-04-14,903
2015-04-15,886
2015-04-16,863
2015-04-17,881
2015-04-18,895
2015-04-19,869
2015-04-20,879
2015-04-21,891
2015-04-22,885
2015-04-23,878
2015-04-24,881
2015-04-25,888
2015-04-26,894
2015-04-27,888
2015-04-28,888
2015-04-29,879
2015-04-30,889
2015-05-01,874
2015-05-02,904
2015-05-03,867
2015-05-04,861
2015-05-05,875
2015-05-06,874
2015-05-07,874
2015-05-08,882
2015-05-09,899
2015-05-10,861
2015-05-11,871
2015-05-12,866
2015-05-13,881
2015-05-14,865
2015-05-15,878
2015-05-16,869
2015-05-17,888
2015-05-18,862
2015-05-19,872
2015-05-20,866
2015-05-21,845
2015-05-22,848
2015-05-23,882
2015-05-24,851
2015-05-25,839
2015-05-26,861
2015-05-27,852
2015-05-28,855
2015-05-29,848
2015-05-30,878
2015-05-31,872
2015-06-01,862
2015-06-02,864
2015-06-03,856
2015-06-04,861
2015-06-05,847
2015-06-06,887
2015-06-07,840
2015-06-08,834
2015-06-09,841
2015-06-10,847
2015-06-11,839
2015-06-12,847
2015-06-13,853
2015-06-14,841
2015-06-15,849
2015-06-16,839
2015-06-17,836
2015-06-18,847
2015-06-19,853
2015-06-20,870
2015-06-21,837
2015-06-22,840
2015-06-23,849
2015-06-24,847
2015-06-25,836
2015-06-26,846
2015-06-27,864
2015-06-28,832
2015-06-29,835
2015-06-30,845
2015-07-01,840
2015-07-02,825
2015-07-03,819
2015-07-04,851
2015-07-05,837
2015-07-06,824
2015-07-07,822
2015-07-08,824
2015-07-09,827
2015-07-10,834
2015-07-11,872
2015-07-12,819
2015-07-13,826
2015-07-14,824
2015-07-15,838
2015-07-16,810
2015-07-17,818
2015-07-18,855
2015-07-19,811
2015-07-20,802
2015-07-21,815
2015-07-22,807
2015-07-23,825
2015-07-24,792
2015-07-25,837
2015-07-26,789
2015-07-27,818
2015-07-28,798
2015-07-29,801
2015-07-30,807
2015-07-31,797
2015-08-01,817
2015-08-02,803
2015-08-03,823
2015-08-04,782
2015-08-05,806
2015-08-06,787
2015-08-07,817
2015-08-08,828
2015-08-09,786
2015-08-10,809
2015-08-11,790
2015-08-12,798
2015-08-13,768
2015-08-14,791
2015-08-15,832
2015-08-16,805
2015-08-17,773
2015-08-18,802
2015-08-19,803
2015-08-20,790
2015-08-21,789
2015-08-22,818
2015-08-23,785
2015-08-24,782
2015-08-25,793
2015-08-26,803
2015-08-27,791
2015-08-28,777
2015-08-29,790
2015-08-30,773
2015-08-31,809
2015-09-01,765
2015-09-02,776
2015-09-03,796
2015-09-04,787
2015-09-05,819
2015-09-06,790
2015-09-07,784
2015-09-08,782
2015-09-09,770
2015-09-10,780
2015-09-11,788
2015-09-12,820
2015-09-13,790
2015-09-14,801
2015-09-15,784
2015-09-16,764
2015-09-17,765
2015-09-18,784
2015-09-19,772
2015-09-20,759
2015-09-21,791
2015-09-22,776
2015-09-23,794
2015-09-24,776
2015-09-25,778
2015-09-26,789
2015-09-27,772
2015-09-28,781
2015-09-29,800
2015-09-30,770
2015-10-01,783
2015-10-02,770
2015-10-03,781
2015-10-04,772
2015-10-05,775
2015-10-06,767
2015-10-07,771
2015-10-08,780
2015-10-09,786
2015-10-10,797
2015-10-11,766
2015-10-12,784
2015-10-13,770
2015-10-14,773
2015-10-15,777
2015-10-16,768
2015-10-17,811
2015-10-18,778
2015-10-19,768
2015-10-20,778
2015-10-21,790
2015-10-22,804
2015-10-23,785
2015-10-24,793
2015-10-25,769
2015-10-26,774
2015-10-27,764
2015-10-28,784
2015-10-29,787
2015-10-30,780
2015-10-31,803
2015-11-01,776
2015-11-02,770
2015-11-03,778
2015-11-04,793
2015-11-05,779
2015-11-06,779
2015-11-07,809
2015-11-08,777
2015-11-09,790
2015-11-10,798
2015-11-11,787
2015-11-12,804
2015-11-13,777
2015-11-14,805
2015-11-15,792
2015-11-16,802
2015-11-17,798
2015-11-18,797
2015-11-19,791
2015-11-20,803
2015-11-21,825
2015-11-22,793
2015-11-23,791
2015-11-24,805
2015-11-25,804
2015-11-26,778
2015-11-27,785
2015-11-28,822
2015-11-29,808
2015-11-30,802
2015-12-01,808
2015-12-02,797
2015-12-03,801
2015-12-04,818
2015-12-05,821
2015-12-06,800
2015-12-07,805
2015-12-08,820
2015-12-09,789
2015-12-10,813
2015-12-11,810
2015-12-12,821
2015-12-13,813
2015-12-14,828
2015-12-15,820
2015-12-16,829
2015-12-17,807
2015-12-18,823
2015-12-19,843
2015-12-20,813
2015-12-21,833
2015-12-22,819
2015-12-23,821
2015-12-24,814
2015-12-25,813
2015-12-26,848
2015-12-27,813
2015-12-28,831
2015-12-29,836
2015-12-30,825
2015-12-31,835
2016-01-01,834
2016-01-02,858
2016-01-03,842
2016-01-04,822
2016-01-05,819
2016-01-06,828
2016-01-07,835
2016-01-08,839
2016-01-09,860
2016-01-10,830
2016-01-11,856
2016-01-12,838
2016-01-13,841
2016-01-14,850
2016-01-15,833
2016-01-16,880
2016-01-17,843
2016-01-18,840
2016-01-19,836
2016-01-20,857
2016-01-21,852
2016-01-22,853
2016-01-23,869
2016-01-24,840
2016-01-25,846
2016-01-26,860
2016-01-27,842
2016-01-28,841
2016-01-29,856
2016-01-30,873
2016-01-31,873
2016-02-01,845
2016-02-02,863
2016-02-03,857
2016-02-04,862
2016-02-05,850
2016-02-06,893
2016-02-07,877
2016-02-08,857
2016-02-09,882
2016-02-10,870
2016-02-11,863
2016-02-12,862
2016-02-13,890
2016-02-14,880
2016-02-15,863
2016-02-16,872
2016-02-17,870
2016-02-18,865
2016-02-19,847
2016-02-20,885
2016-02-21,869
2016-02-22,880
2016-02-23,864
2016-02-24,862
2016-02-25,877
2016-02-26,878
2016-02-27,883
2016-02-28,866
2016-02-29,871
2016-03-01,873
2016-03-02,847
2016-03-03,885
2016-03-04,872
2016-03-05,912
2016-03-06,882
2016-03-07,890
2016-03-08,886
2016-03-09,865
2016-03-10,879
2016-03-11,882
2016-03-12,918
2016-03-13,883
2016-03-14,877
2016-03-15,880
2016-03-16,885
2016-03-17,877
2016-03-18,879
2016-03-19,909
2016-03-20,882
2016-03-21,881
2016-03-22,871
2016-03-23,891
2016-03-24,886
2016-03-25,890
2016-03-26,903
2016-03-27,879
2016-03-28,878
2016-03-29,883
2016-03-30,892
2016-03-31,878
2016-04-01,884
2016-04-02,903
2016-04-03,892
2016-04-04,877
2016-04-05,895
2016-04-06,878
2016-04-07,880
2016-04-08,880
2016-04-09,889
2016-04-10,880
2016-04-11,895
2016-04-12,882
2016-04-13,886
2016-04-14,881
2016-04-15,877
2016-04-16,895
2016-04-17,888
2016-04-18,881
